SUBJECT,TOPIC,Year,Question ID,c (in thousands),s (in thousands),hc (in thousands),lc (in thousands),Item Difficulty Index (=c*100/s),Item Discrimination Index (=(hc-lc)/27)
PHYSICS,ELECTROSTATICS,2002,2002001,375,384,25,15,97.65625,0.37037037
PHYSICS,ELECTROSTATICS,2002,2002002,133,233,14,16,57.08154506,-0.074074074
PHYSICS,ELECTROSTATICS,2002,2002003,380,407,12,10,93.36609337,0.074074074
PHYSICS,CURRENT ELECTRICITY,2002,2002004,410,680,13,6,60.29411765,0.259259259
PHYSICS,CURRENT ELECTRICITY,2002,2002005,154,226,16,20,68.14159292,-0.148148148
PHYSICS,CURRENT ELECTRICITY,2002,2002006,322,471,19,2,68.36518047,0.62962963
PHYSICS,CURRENT ELECTRICITY,2002,2002007,233,470,22,3,49.57446809,0.703703704
PHYSICS,CURRENT ELECTRICITY,2002,2002008,107,129,25,17,82.94573643,0.296296296
PHYSICS,CURRENT ELECTRICITY,2002,2002009,299,539,12,20,55.47309833,-0.296296296
PHYSICS,CAPACITANCE,2002,2002010,98,192,21,22,51.04166667,-0.037037037
PHYSICS,CAPACITANCE,2002,2002011,351,805,19,4,43.60248447,0.555555556
PHYSICS,ELECTRO MAGNETIC FIELD,2002,2002012,298,973,17,4,30.62692703,0.481481481
PHYSICS,ELECTRO MAGNETIC FIELD,2002,2002013,170,521,17,5,32.62955854,0.444444444
PHYSICS,ELECTRO MAGNETIC FIELD,2002,2002014,18,423,19,3,4.255319149,0.592592593
PHYSICS,ELECTRO MAGNETIC FIELD,2002,2002015,491,895,13,10,54.8603352,0.111111111
PHYSICS,ELECTRO MAGNETIC FIELD,2002,2002016,408,647,14,1,63.06027821,0.481481481
PHYSICS,ELECTRO MAGNETIC FIELD,2002,2002017,146,179,21,2,81.56424581,0.703703704
PHYSICS,ELECTRO MAGNETIC INDUCTION,2002,2002018,385,713,16,15,53.99719495,0.037037037
PHYSICS,ELECTRO MAGNETIC INDUCTION,2002,2002019,279,281,18,6,99.28825623,0.444444444
PHYSICS,ALTERNATING CURRENT,2002,2002020,87,529,26,13,16.44612476,0.481481481
PHYSICS,ALTERNATING CURRENT,2002,2002021,4,6,14,9,66.66666667,0.185185185
PHYSICS,CALORIMETRY & THERMAL EXPANSION,2002,2002022,53,174,22,2,30.45977011,0.740740741
PHYSICS,CALORIMETRY & THERMAL EXPANSION,2002,2002023,799,862,19,4,92.69141531,0.555555556
PHYSICS,CALORIMETRY & THERMAL EXPANSION,2002,2002024,104,329,24,20,31.61094225,0.148148148
PHYSICS,CALORIMETRY & THERMAL EXPANSION,2002,2002025,232,795,26,19,29.18238994,0.259259259
PHYSICS,CALORIMETRY & THERMAL EXPANSION,2002,2002026,361,582,12,4,62.02749141,0.296296296
PHYSICS,CALORIMETRY & THERMAL EXPANSION,2002,2002027,825,851,27,7,96.94477086,0.740740741
PHYSICS,CALORIMETRY & THERMAL EXPANSION,2002,2002028,291,956,10,1,30.43933054,0.333333333
PHYSICS,CALORIMETRY & THERMAL EXPANSION,2002,2002029,224,266,16,15,84.21052632,0.037037037
PHYSICS,CALORIMETRY & THERMAL EXPANSION,2002,2002030,328,808,13,6,40.59405941,0.259259259
PHYSICS,SIMPLE HARMONIC MOTION,2002,2002031,702,874,14,11,80.32036613,0.111111111
PHYSICS,SIMPLE HARMONIC MOTION,2002,2002032,143,713,10,20,20.05610098,-0.37037037
PHYSICS,SIMPLE HARMONIC MOTION,2002,2002033,178,822,26,16,21.65450122,0.37037037
PHYSICS,WAVE ON A STRING,2002,2002034,142,687,27,11,20.66957787,0.592592593
PHYSICS,WAVE ON A STRING,2002,2002035,573,694,24,18,82.5648415,0.222222222
PHYSICS,SOUND WAVES,2002,2002036,410,604,18,21,67.8807947,-0.111111111
PHYSICS,SOUND WAVES,2002,2002037,733,784,19,0,93.49489796,0.703703704
PHYSICS,SOUND WAVES,2002,2002038,342,777,24,5,44.01544402,0.703703704
PHYSICS,GEOMETRICAL OPTICS,2002,2002039,243,562,16,1,43.23843416,0.555555556
PHYSICS,GEOMETRICAL OPTICS,2002,2002040,792,993,22,4,79.75830816,0.666666667
PHYSICS,GEOMETRICAL OPTICS,2002,2002041,411,705,10,18,58.29787234,-0.296296296
PHYSICS,GEOMETRICAL OPTICS,2002,2002042,144,181,26,8,79.55801105,0.666666667
